region, left, bottom, right, top
geneva, 6.1239207983, 46.1883528624, 6.1756168604, 46.2161047314
nyon, 6.2102664709, 46.3669744839, 6.261962533, 46.3946360145
lausanne, 6.5851749182, 46.5172022533, 6.6368709803, 46.5447875978
montreux, 6.8943864703, 46.4122046651, 6.9401472211, 46.4398432777
bulle, 7.0358354449, 46.5986484146, 7.0815961957, 46.6261923754
yverdon-les-bains, 6.6121751666, 46.765877634, 6.6579359174, 46.7933364496
neuchatel, 6.8957597613, 46.9766460517, 6.9415205121, 47.0039972212
biel, 7.2329027057, 47.1244857995, 7.2786634564, 47.1517612418
bern, 7.4189836383, 46.9358713858, 7.4647443891, 46.9632434092
delémont, 7.3338395953, 47.3524555984, 7.3796003461, 47.3796139133
basel, 7.5693590045, 47.5391319486, 7.6151197553, 47.5661940322
liestal, 7.7101213336, 47.4667690388, 7.7558820844, 47.4938684595
neuendarf, 7.7691728473, 47.2821646884, 7.814933598, 47.3093591637
langenthal, 7.7602464557, 47.1982520173, 7.8060072064, 47.2254896068
sursee, 8.0857164264, 47.1599810682, 8.1314771771, 47.1872383019
rohr, 8.0609971881, 47.3883795304, 8.1067579389, 47.415519349
lucerne, 8.2845003009, 47.0392706474, 8.3302610517, 47.0665897612
sarnen, 8.2292253375, 46.8848593592, 8.2749860883, 46.9122574526
schattdorf, 8.6175233722, 46.8480067111, 8.6632841229, 46.8754236248
locarno, 8.760002315, 46.1528678445, 8.8057630658, 46.1806376281
belinzona, 8.9893419147, 46.1771213887, 9.0351026654, 46.204878929
lugano, 8.934410274, 45.9942436034, 8.9801710248, 46.0220933381
chur, 9.5105058551, 46.8380263242, 9.5562666059, 46.8654483329
aarburg,7.8850442767,47.2982909825,7.9308050275,47.3254771654
thun,7.6002580523,46.7388263405,7.6460188031,46.7662989453
interlaken,7.8392106891,46.6663090351,7.8849714398,46.6938185745
visp,7.8437844217,46.2672402038,7.9188498557,46.3156356784
martigny,7.0404091775,46.0779939434,7.1154746115,46.1265563024
lyss,7.2711220682,47.046732886,7.3461875021,47.0944354362
frick,7.9893532693,47.4800884635,8.0644187033,47.5274019636
wohlen,8.2413521707,47.3213705643,8.3164176047,47.3688268701
sempach,8.175434202,47.1077564588,8.2504996359,47.1554043887
worb,7.5327340066,46.9059492233,7.6077994406,46.9537775783
näfels,9.0411836505,47.0844084059,9.0869444013,47.1117043948
emmen,8.2649309039,47.0606749188,8.3106916547,47.0879830689
brugg,8.185280025,47.4679294873,8.2310407758,47.4950283096
muttenz,7.6112443805,47.5133988827,7.6570051312,47.5404742487
solothurn,7.5329667926,47.1914866011,7.5787275434,47.2187276641
olten,7.8845292926,47.3359386594,7.9302900434,47.363105475
zollikofen,7.4160042703,46.9823604024,7.4910697043,47.0301205118
fribourg,7.1111336648,46.7753766522,7.1861990988,46.8233214296
grenchen,7.3638192117,47.171277546,7.4388846457,47.2188685629
huttwil,7.8170052469,47.0927992913,7.8920706809,47.1404606139
döttingen,8.2166329324,47.5341244405,8.2916983664,47.5813892392
baden,8.2640114725,47.4468972031,8.3390769064,47.4942405969
stans,8.3374825418,46.9406524788,8.4125479758,46.9884498496
wolhusen,8.0394783914,47.034332589,8.1145438254,47.0820462318
reinach,7.567066282,47.4631472916,7.642131716,47.5104760518
porrentruy,7.039722532,47.3907958474,7.114787966,47.4381897328
golaten,7.2309350967,46.9816113801,7.2456121445,46.9883790947
tessin,8.3688,45.8087,9.1653,46.6334
schaffhausen,8.596458,47.668509,8.66581,47.716345
engi,9.145947,46.978525,9.157963,46.986986
bière,6.32997,46.53531,6.336493,46.540175
le_tene,6.979395,46.994002,7.063879,47.04376
boudry,6.816844,46.923069,6.885854,46.97791
davos,9.805641,46.76575,9.864349,46.838706
st.moritz,9.774914,46.449515,9.968376,46.596265
altstätten,9.507637,47.361327,9.674664,47.417112
schüpach,7.719312,46.914056,7.754245,46.939056
madiswil,7.770081,47.15574,7.811065,47.19292
balsthal,7.674347,47.303647,7.720417,47.325883
wolfwil,7.78361,47.256831,7.844582,47.279087
bätterking,7.525034,47.119977,7.568,47.142199
bülach,8.515949,47.49685,8.564383,47.539398
leuggern,8.189185,47.566421,8.232285,47.588771
rüfenach,8.174337,47.486846,8.263607,47.528184
lenzburg,8.150137,47.368042,8.235626,47.44742
aarau,7.9953,47.368304,8.105679,47.411957
oberentfelden,7.967577,47.33041,8.077956,47.374095
saint-ursanne,7.117724,47.342043,7.185788,47.385719
affoltern,8.397846,47.257527,8.468442,47.301272
uznach,8.936756,47.209154,9.007351,47.252939
uster,8.686785,47.334122,8.798676,47.380801
dietikon,8.361642,47.383973,8.471146,47.430608
mosen,8.173321,47.229395,8.282825,47.276166
vevey,6.710587,46.441406,6.936493,46.513279


obwalden1,8.039246,46.750918,8.372269,46.981892
obwalden2,8.360596,46.764442,8.507195,46.875331
schaffhausen1,8.403854,47.635899,8.743401,47.809696
schaffhausen2,8.768635,47.653768,8.876781,47.738977
schaffhausen3,8.533459,47.551332,8.5956,47.606337
genf1,5.95459,46.127389,6.312332,46.315873
genf2,6.16642,46.338573,6.213112,46.36464
glarus,8.906479,46.875448,9.251862,47.175012

ostschweiz1,9.179249,46.902431,9.626598,47.15984
ostschweiz2,8.973083,47.139293,9.673462,47.510244
ostschweiz3,8.797989,47.213272,8.999176,47.258495


schwyz1,8.677826,46.895816,8.931885,47.203756
schwyz2,8.403854,46.987279,8.657913,47.110794

nidwalden1,8.296051,46.917676,8.570023,47.004373
nidwalden2,8.337936,46.769733,8.482819,46.907591

uri1,8.409691,46.550125,8.680573,46.686896
uri2,8.468399,46.693019,8.833694,46.917676
uri3,8.821335,46.800294,8.948364,46.917676
uri4,8.55217,46.912047,8.713531,46.987513

graubuenden1,8.809744,46.600088,10.460358,46.895393
graubuenden2,9.446869,46.230678,10.145874,46.598894

luzern1,7.893677,46.781607,8.131256,47.249873
luzern2, 8.130569,46.973225,8.471832,47.26199

aargau, 7.853851,47.25267,8.391151,47.607552

basel&solo,7.349854,47.260126,7.855911,47.600144
basel&solo,7.345734,47.085553,7.67395,47.274105

friburg,6.846542,46.446374,7.315521,46.980252

jura1,6.871262,47.15984,7.191925,47.50978
jura2,7.205658,47.281092,7.410278,47.429945

bern1,7.2925,46.391,7.8964,47.2923
bern2,7.866383,46.53265,8.432007,46.773496
bern3,7.059081,47.036555,7.434633,47.306241

neuchatel1,6.6416,46.915565,7.091675,47.15984
neuchatel2,6.461334,46.815099,6.746979,46.987747

vaud1,6.454468,46.418926,6.885681,46.80194
vaud2,6.076813,46.355459,6.442108,46.723859
vaud3,6.833496,46.176978,7.227631,46.497447

walis1,6.930313,45.89192,8.179321,46.190289
walils2,7.215614,46.20027,8.31665,46.412298
walis3,7.917881,46.411588,8.451233,46.551305
walis4,8.359222,46.546701,8.419647,46.656035
walis5,6.852722,46.216011,6.976318,46.326009

thurgau1,8.840561,47.483163,9.440689,47.67163
thurgau2,8.900642,47.386975,9.034538,47.498401
thurgau3,8.695335,47.578147,8.896179,47.727085


testarea,6.188091,46.338929,6.223885,46.364581
